# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-03-21 12:05:42 EDT       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 10254005 SALTON SEA NR WESTMORLAND CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 10254005
#            TS   parameter     statistic     Description
#          7209       62614     00003     Lake or reservoir water surface elevation above NGVD 1929, feet (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	DATE	WSE	7209_62614_00003_cd
5s	15s	20d	14n	10s
USGS	10254005	1987-10-01	-228.20	A
USGS	10254005	1987-10-02	-228.20	A
USGS	10254005	1987-10-03	-228.20	A
USGS	10254005	1987-10-04	-228.20	A
USGS	10254005	1987-10-05	-228.20	A
USGS	10254005	1987-10-06	-228.20	A
USGS	10254005	1987-10-07	-228.20	A
USGS	10254005	1987-10-08	-228.20	A
USGS	10254005	1987-10-09	-228.20	A
USGS	10254005	1987-10-10	-228.20	A
USGS	10254005	1987-10-11	-228.20	A
USGS	10254005	1987-10-12	-228.20	A
USGS	10254005	1987-10-13	-228.20	A
USGS	10254005	1987-10-14	-228.20	A
USGS	10254005	1987-10-15	-228.20	A
USGS	10254005	1987-10-16	-228.20	A
USGS	10254005	1987-10-17	-228.20	A
USGS	10254005	1987-10-18	-228.20	A
USGS	10254005	1987-10-19	-228.20	A
USGS	10254005	1987-10-20	-228.20	A
USGS	10254005	1987-10-21	-228.20	A
USGS	10254005	1987-10-22	-228.20	A
USGS	10254005	1987-10-23	-228.20	A
USGS	10254005	1987-10-24	-228.20	A
USGS	10254005	1987-10-25	-228.20	A
USGS	10254005	1987-10-26	-228.20	A
USGS	10254005	1987-10-27	-228.20	A
USGS	10254005	1987-10-28	-228.20	A
USGS	10254005	1987-10-29	-228.20	A
USGS	10254005	1987-10-30	-228.20	A
USGS	10254005	1987-10-31	-228.10	A
USGS	10254005	1987-11-01	-228.10	A
USGS	10254005	1987-11-02	-228.10	A
USGS	10254005	1987-11-03	-228.10	A
USGS	10254005	1987-11-04	-228.10	A
USGS	10254005	1987-11-05	-228.10	A
USGS	10254005	1987-11-06	-228.10	A
USGS	10254005	1987-11-07	-228.10	A
USGS	10254005	1987-11-08	-228.10	A
USGS	10254005	1987-11-09	-228.10	A
USGS	10254005	1987-11-10	-228.10	A
USGS	10254005	1987-11-11	-228.10	A
USGS	10254005	1987-11-12	-228.10	A
USGS	10254005	1987-11-13	-228.10	A
USGS	10254005	1987-11-14	-228.10	A
USGS	10254005	1987-11-15	-228.10	A
USGS	10254005	1987-11-16	-228.10	A
USGS	10254005	1987-11-17	-228.10	A
USGS	10254005	1987-11-18	-228.10	A
USGS	10254005	1987-11-19	-228.10	A
USGS	10254005	1987-11-20	-228.10	A
USGS	10254005	1987-11-21	-228.10	A
USGS	10254005	1987-11-22	-228.10	A
USGS	10254005	1987-11-23	-228.10	A
USGS	10254005	1987-11-24	-228.10	A
USGS	10254005	1987-11-25	-228.00	A
USGS	10254005	1987-11-26	-228.00	A
USGS	10254005	1987-11-27	-228.10	A
USGS	10254005	1987-11-28	-228.10	A
USGS	10254005	1987-11-29	-228.10	A
USGS	10254005	1987-11-30	-228.10	A
USGS	10254005	1987-12-01	-228.10	A
USGS	10254005	1987-12-02	-228.10	A
USGS	10254005	1987-12-03	-228.10	A
